;FDATE;DEMAND;BETWEEN_;AND_;DEST_FROM;DEST_TO
5258;03-09-2019;2;2019-09-03 17:00:00;2019-09-03 22:00:00;CEA_from;EBJ_end
17506;03-09-2019;11;2019-09-03 06:00:00;2019-09-03 10:00:00;CEA_from;GOC_to
18140;03-09-2019;8;2019-09-03 17:00:00;2019-09-03 21:00:00;CEA_from;GOC_to
22078;03-09-2019;1;2019-09-03 06:00:00;2019-09-03 10:00:00;CEA_from;MGU_to
24031;03-09-2019;1;2019-09-03 09:00:00;2019-09-03 13:00:00;CEA_from;TYW_to
29893;03-09-2019;14;2019-09-03 10:00:00;2019-09-03 15:00:00;DAF_from;EBJ_end
38559;03-09-2019;1;2019-09-03 10:00:00;2019-09-03 14:00:00;DAF_from;MIN_to
50825;03-09-2019;15;2019-09-03 09:00:00;2019-09-03 14:00:00;EBJ_start;DAF_to
59256;03-09-2019;8;2019-09-03 11:00:00;2019-09-03 17:00:00;EBJ_start;GOC_to
59334;03-09-2019;16;2019-09-03 04:00:00;2019-09-03 09:00:00;EBJ_start;GOC_to
65835;03-09-2019;8;2019-09-03 15:00:00;2019-09-03 20:00:00;EBJ_start;HBC_to
72133;03-09-2019;14;2019-09-03 05:00:00;2019-09-03 10:00:00;EBJ_start;MGU_to
85819;03-09-2019;6;2019-09-03 11:00:00;2019-09-03 17:00:00;EBJ_start;SKJ_to
88137;03-09-2019;13;2019-09-03 08:00:00;2019-09-03 13:00:00;EBJ_start;TYW_to
97521;03-09-2019;10;2019-09-03 17:00:00;2019-09-03 21:00:00;GOC_from;CEA_to
98122;03-09-2019;8;2019-09-03 05:00:00;2019-09-03 09:00:00;GOC_from;CEA_to
101927;03-09-2019;10;2019-09-03 13:00:00;2019-09-03 18:00:00;GOC_from;EBJ_end
101985;03-09-2019;6;2019-09-03 17:00:00;2019-09-03 22:00:00;GOC_from;EBJ_end
110992;03-09-2019;16;2019-09-03 06:00:00;2019-09-03 10:00:00;GOC_from;MIN_to
128037;03-09-2019;6;2019-09-03 16:00:00;2019-09-03 21:00:00;HBC_from;GOC_to
132095;03-09-2019;6;2019-09-03 16:00:00;2019-09-03 20:00:00;HBC_from;HAL_to
133672;03-09-2019;1;2019-09-03 05:00:00;2019-09-03 09:00:00;MGU_from;CEA_to
141796;03-09-2019;16;2019-09-03 06:00:00;2019-09-03 11:00:00;MGU_from;EBJ_end
151927;03-09-2019;12;2019-09-03 06:00:00;2019-09-03 10:00:00;MGU_from;TYE_to
153318;03-09-2019;15;2019-09-03 06:00:00;2019-09-03 11:00:00;MIN_from;EBJ_end
154038;03-09-2019;6;2019-09-03 16:00:00;2019-09-03 20:00:00;MIN_from;HBC_to
163344;03-09-2019;6;2019-09-03 13:00:00;2019-09-03 18:00:00;SKJ_from;EBJ_end
164440;03-09-2019;18;2019-09-03 12:00:00;2019-09-03 09:00:00;SMA_from;EBJ_end
168896;03-09-2019;12;2019-09-03 06:00:00;2019-09-03 10:00:00;TYE_from;MGU_to
169793;03-09-2019;2;2019-09-03 09:00:00;2019-09-03 13:00:00;TYW_from;CEA_to
173149;03-09-2019;10;2019-09-03 09:00:00;2019-09-03 14:00:00;TYW_from;EBJ_end
